국가,기간,한국여행중서울방문,명동,동대문시장,남대문시장,경복궁,남산타워,인사동,국립박물관,롯데타워,홍대,강남
전체,2016,9363,81.1,62.3,29.0,38.6,43.1,28.0,24.3,23.9,33.2,27.1
일본,2016,1251,80.5,46.6,29.1,14.5,13.9,25.0,8.0,8.2,32.1,27.4
중국,2016,4442,91.7,71.5,24.2,35.0,51.7,26.0,22.1,31.9,35.2,22.8
홍콩,2016,446,88.5,67.5,26.2,21.8,29.7,23.2,14.5,20.0,55.4,21.0
싱가포르,2016,151,84.4,60.1,39.7,52.6,39.3,36.8,24.9,22.2,41.6,39.2
대만,2016,537,91.9,78.3,26.2,29.7,47.0,20.2,16.7,32.6,34.4,12.9
태국,2016,284,83.4,67.1,42.2,68.2,49.8,29.4,30.5,9.3,35.4,33.6
말레이시아,2016,195,91.8,82.2,69.6,66.3,65.3,46.6,38.4,24.6,41.2,34.1
호주,2016,100,47.2,34.0,27.8,49.4,32.9,31.7,34.6,11.7,23.1,34.9
미국,2016,542,45.9,35.5,32.3,61.2,37.5,35.8,44.0,13.7,26.9,37.5
캐나다,2016,110,53.4,39.3,37.6,65.7,35.1,39.7,40.5,13.3,23.2,37.4
독일,2016,60,45.3,37.9,31.1,61.3,42.8,41.0,36.5,15.8,24.0,46.2
영국,2016,73,41.4,32.3,29.4,55.2,38.1,26.6,41.2,12.7,23.9,39.6
프랑스,2016,58,41.6,33.8,25.6,57.5,39.8,41.5,34.0,13.2,26.6,48.7
러시아,2016,120,51.9,55.5,38.2,59.5,36.0,32.6,37.3,25.1,17.1,38.2
중동,2016,120,34.2,72.8,26.5,30.8,20.1,17.4,19.9,11.3,8.8,22.8
인도,2016,44,38.6,36.5,32.7,47.7,30.3,22.4,38.1,16.3,13.9,40.1
기타,2016,829,62.7,49.2,37.6,62.6,50.5,37.0,43.9,19.4,23.0,41.9
